7_kitchen_neg_1	7_kitchen_neg_0
7_kitchen_neg_2	7_kitchen_neg_1
7_kitchen_neg_3	7_kitchen_neg_2
7_kitchen_neg_4	7_kitchen_neg_3
7_kitchen_neg_5	7_kitchen_neg_4
7_kitchen_neg_6	7_kitchen_neg_5
7_kitchen_neg_7	7_kitchen_neg_6
7_kitchen_neg_8	7_kitchen_neg_7
7_kitchen_neg_9	7_kitchen_neg_8
7_kitchen_neg_10	7_kitchen_neg_9
7_kitchen_neg_11	7_kitchen_neg_10
7_kitchen_neg_12	7_kitchen_neg_11
7_kitchen_neg_13	7_kitchen_neg_12
7_kitchen_neg_14	7_kitchen_neg_13
7_kitchen_neg_15	7_kitchen_neg_14
7_kitchen_neg_16	7_kitchen_neg_15
7_kitchen_neg_17	7_kitchen_neg_16
7_kitchen_neg_18	7_kitchen_neg_17
7_kitchen_neg_19	7_kitchen_neg_18
7_kitchen_neg_20	7_kitchen_neg_19
7_kitchen_neg_21	7_kitchen_neg_20
7_kitchen_neg_22	7_kitchen_neg_21
7_kitchen_neg_23	7_kitchen_neg_22
7_kitchen_neg_24	7_kitchen_neg_23
7_kitchen_neg_25	7_kitchen_neg_24
7_kitchen_neg_26	7_kitchen_neg_25
7_kitchen_neg_27	7_kitchen_neg_26
7_kitchen_neg_28	7_kitchen_neg_27
7_kitchen_neg_29	7_kitchen_neg_28
7_kitchen_neg_30	7_kitchen_neg_29
7_kitchen_neg_31	7_kitchen_neg_30
7_kitchen_neg_32	7_kitchen_neg_31
7_kitchen_neg_33	7_kitchen_neg_32
7_kitchen_neg_34	7_kitchen_neg_33
7_kitchen_neg_35	7_kitchen_neg_34
7_kitchen_neg_36	7_kitchen_neg_35
7_kitchen_neg_37	7_kitchen_neg_36
7_kitchen_neg_38	7_kitchen_neg_37
7_kitchen_neg_39	7_kitchen_neg_38
7_kitchen_neg_40	7_kitchen_neg_39
7_kitchen_neg_41	7_kitchen_neg_40
7_kitchen_neg_42	7_kitchen_neg_41
7_kitchen_neg_43	7_kitchen_neg_42
7_kitchen_neg_44	7_kitchen_neg_43
7_kitchen_neg_45	7_kitchen_neg_44
7_kitchen_neg_46	7_kitchen_neg_45
7_kitchen_neg_47	7_kitchen_neg_46
7_kitchen_neg_48	7_kitchen_neg_47
